pair_id,problem_types,all_details,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado
P01171,exact_duplicate,Duplicado de P00758 (grupo de 2),Le gustó.,IYATULLI,le gustó.,iyatulli
P01980,exact_duplicate,Duplicado de P00299 (grupo de 2),No mientas.,YATUMU'TA,no mientas.,yatumu'ta
P02227,exact_duplicate,Duplicado de P01132 (grupo de 2),Sigue cavando.,IWA'TAPER'I'LA,sigue cavando.,iwa'taper'i'la
P01041,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Come algo.,KAKER' MA'PINTA',come algo.,kaker' ma'pinta'
P01352,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Come algo.,MA'SHAPIN'TA KA'KER',come algo.,ma'shapin'ta ka'ker'
P00037,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Escucha.,LAU'TER,escucha.,lau'ter
P00390,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Escucha.,LAUK'TER',escucha.,lauk'ter'
P00041,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Estoy escuchando.,LAU'TAPALEK,estoy escuchando.,lau'tapalek
P01459,bidirectional_conflict,ESP tiene 2 traducciones SHIWILU diferentes; SHIWILU tiene 2 traducciones ESP,Estoy escuchando.,LAUK'APALEK,estoy escuchando.,lauk'apalek
P00509,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Mantente quieto.,YALENMEKTA,mantente quieto.,yalenmekta
P00595,bidirectional_conflict,ESP tiene 2 traducciones SHIWILU diferentes; SHIWILU tiene 2 traducciones ESP,Mantente quieto.,YALENMEK'TA,mantente quieto.,yalenmek'ta
P00062,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Sal. ,YUNSUER',sal.,yunsuer'
P00063,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Sal. ,DAMULA,sal.,damula
P02096,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Remontemos cometas.,A'PENU'WA' COMETAS,remontemos cometas.,a'penu'wa' cometas
P02097,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Volemos cometas.,A'PENU'WA' COMETAS,volemos cometas.,a'penu'wa' cometas
P00747,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Termine esto.,A'TA'WANTER ASU',termine esto.,a'ta'wanter asu'
P00748,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Termina esto.,A'TA'WANTER ASU',termina esto.,a'ta'wanter asu'
P00187,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,He vuelto.,ADENCHA'LEK,he vuelto.,adencha'lek
P02009,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Volví.,ADENCHA'LEK,volví.,adencha'lek
P00875,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mándalo dentro.,AKU'KER' KINEKLA,mándalo dentro.,aku'ker' kinekla
P00876,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mándalo adentro.,AKU'KER' KINEKLA,mándalo adentro.,aku'ker' kinekla
P01163,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ponlo allí.,AKU'KER' NANEK ,ponlo allí.,aku'ker' nanek
P01165,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ponlo ahí.,AKU'KER' NANEK ,ponlo ahí.,aku'ker' nanek
P00549,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,¡Quiero uno!,ALA'SA' LUANTULEK,¡quiero uno!,ala'sa' luantulek
P00550,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,¡Quiero una!,ALA'SA' LUANTULEK,¡quiero una!,ala'sa' luantulek
P01441,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lo demostraré.,ALLI'ECHEK,lo demostraré.,alli'echek
P01443,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Le mostraré.,ALLI'ECHEK,le mostraré.,alli'echek
P00106,suspicious_content|many_to_one_shiwilu,"SHIWILU tiene 2 traducciones ESP diferentes || ESP contiene paréntesis (posible glosa); ESP contiene caracteres sospechosos: ['(', ')']",Enséñamelo. (muestramelo),ALLI'U,enséñamelo. (muestramelo),alli'u
P00107,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Muestrame.,ALLI'U,muestrame.,alli'u
P00060,many_to_one_shiwilu,SHIWILU tiene 5 traducciones ESP diferentes,Suéltalo.,APU'KER',suéltalo.,apu'ker'
P00391,many_to_one_shiwilu,SHIWILU tiene 5 traducciones ESP diferentes,Aflójalo.,APU'KER',aflójalo.,apu'ker'
P00392,many_to_one_shiwilu,SHIWILU tiene 5 traducciones ESP diferentes,Suéltala.,APU'KER',suéltala.,apu'ker'
P00393,many_to_one_shiwilu,SHIWILU tiene 5 traducciones ESP diferentes,Aflójala.,APU'KER',aflójala.,apu'ker'
P00873,many_to_one_shiwilu,SHIWILU tiene 5 traducciones ESP diferentes,Libérale.,APU'KER',libérale.,apu'ker'
P00698,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Estamos acá.,ASEK ÑAPALLIDEK,estamos acá.,asek ñapallidek
P00762,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Aquí estamos.,ASEK ÑAPALLIDEK,aquí estamos.,asek ñapallidek
P00928,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Estamos aquí.,ASEK ÑAPALLIDEK,estamos aquí.,asek ñapallidek
P00200,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy aquí.,ASEK' ÑAPALEK,estoy aquí.,asek' ñapalek
P00310,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Acá estoy.,ASEK' ÑAPALEK,acá estoy.,asek' ñapalek
P00646,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Esto funciona.,ASU' SAKA'TAPALLI,esto funciona.,asu' saka'tapalli
P00647,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Esto trabaja.,ASU' SAKA'TAPALLI,esto trabaja.,asu' saka'tapalli
P02117,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Siéntate derecho.,CHEKSU' DU'KER',siéntate derecho.,cheksu' du'ker'
P02118,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Siéntese recto.,CHEKSU' DU'KER',siéntese recto.,cheksu' du'ker'
P00724,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Sé específico.,CHEKSU' ÑIKER',sé específico.,cheksu' ñiker'
P01029,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,No divagues.,CHEKSU' ÑIKER',no divagues.,cheksu' ñiker'
P00152,suspicious_content|many_to_one_shiwilu,"SHIWILU tiene 2 traducciones ESP diferentes || ESP contiene paréntesis (posible glosa); ESP contiene caracteres sospechosos: ['(', ')']",Adelante. (ingresa),DA'ENCHER',adelante. (ingresa),da'encher'
P00157,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Entra.,DA'ENCHER',entra.,da'encher'
P00057,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Entre.,DA'KERKER',entre.,da'kerker'
P00058,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Pase.,DA'KERKER',pase.,da'kerker'
P01194,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Se chocaron.,DA'PAÑINA',se chocaron.,da'pañina'
P01195,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Se estrellaron.,DA'PAÑINA',se estrellaron.,da'pañina'
P00337,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Soy ciega.,DAPINANTEK' NUKA'KA,soy ciega.,dapinantek' nuka'ka
P00338,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Soy ciego.,DAPINANTEK' NUKA'KA,soy ciego.,dapinantek' nuka'ka
P01438,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lo mataré.,DEI'TECHEK,lo mataré.,dei'techek
P01439,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Le mataré.,DEI'TECHEK,le mataré.,dei'techek
P00243,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Siéntate.,DU'KER',siéntate.,du'ker'
P00753,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Tome asiento.,DU'KER',tome asiento.,du'ker'
P00244,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mes. ,DUKER,mes.,duker
P00245,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Luna,DUKER,luna,duker
P00957,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Qué lástima.,EMBU'NI WE'INUIPA',qué lástima.,embu'ni we'inuipa'
P00958,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Qué pena.,EMBU'NI WE'INUIPA',qué pena.,embu'ni we'inuipa'
P00477,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,¡Pásale!,ENKA'KER',¡pásale!,enka'ker'
P01687,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Dáselo.,ENKA'KER',dáselo.,enka'ker'
P01689,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Pásaselo.,ENKA'KER',pásaselo.,enka'ker'
P00321,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Me dieron.,ENKA'LLINER'KU,me dieron.,enka'lliner'ku
P00322,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Me alcanzaron.,ENKA'LLINER'KU,me alcanzaron.,enka'lliner'ku
P00871,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ponte esto.,I'SHIKER' ASU',ponte esto.,i'shiker' asu'
P00872,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Póngase esto.,I'SHIKER' ASU',póngase esto.,i'shiker' asu'
P01406,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy resfriado.,ILUSU' ÑAPALEK,estoy resfriado.,ilusu' ñapalek
P01407,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy acatarrado.,ILUSU' ÑAPALEK,estoy acatarrado.,ilusu' ñapalek
P00562,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy asustado.,IMANANTUSU' ÑAPALEK,estoy asustado.,imanantusu' ñapalek
P01770,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy asombrada.,IMANANTUSU' ÑAPALEK,estoy asombrada.,imanantusu' ñapalek
P00977,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Eres libre.,INAPIKEN NUKA'MA,eres libre.,inapiken nuka'ma
P01639,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estás soltero.,INAPIKEN NUKA'MA,estás soltero.,inapiken nuka'ma
P00423,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,¡Cuidate!,INLUUKTER',¡cuidate!,inluukter'
P00424,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,¡Te cuidas!,INLUUKTER',¡te cuidas!,inluukter'
P00866,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Ahora sigue.,IPA'LA TUPITER',ahora sigue.,ipa'la tupiter'
P00867,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Ahora continúa.,IPA'LA TUPITER',ahora continúa.,ipa'la tupiter'
P00868,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Ahora prosigue.,IPA'LA TUPITER',ahora prosigue.,ipa'la tupiter'
P00309,suspicious_content|many_to_one_shiwilu,"SHIWILU tiene 2 traducciones ESP diferentes || ESP contiene paréntesis (posible glosa); ESP contiene caracteres sospechosos: ['(', ')']",Es rico. (sabor),IYALLI,es rico. (sabor),iyalli
P00369,suspicious_content|many_to_one_shiwilu,"SHIWILU tiene 2 traducciones ESP diferentes || ESP contiene paréntesis (posible glosa); ESP contiene caracteres sospechosos: ['(', ')']",Es agradable. (sabor),IYALLI,es agradable. (sabor),iyalli
P00980,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estás enfermo.,KALUWI'PALA,estás enfermo.,kaluwi'pala
P01930,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estás herida.,KALUWI'PALA,estás herida.,kaluwi'pala
P00523,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Lo encontré.,KANANEK,lo encontré.,kananek
P01415,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,La rescaté.,KANANEK,la rescaté.,kananek
P01416,many_to_one_shiwilu,SHIWILU tiene 3 traducciones ESP diferentes,Lo rescaté.,KANANEK,lo rescaté.,kananek
P00078,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ayúdame.,KATU'PA'U,ayúdame.,katu'pa'u
P01323,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Apóyame.,KATU'PA'U,apóyame.,katu'pa'u
P00079,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ayúdanos.,KATU'PA'UDEK,ayúdanos.,katu'pa'udek
P01324,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Apóyanos.,KATU'PA'UDEK,apóyanos.,katu'pa'udek
P00733,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Acercate.,KAWITER',acercate.,kawiter'
P01011,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Acércate.,KAWITER',acércate.,kawiter'
P01287,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Tú sobreviviste.,KENMA CHIMINLLINKEKLA NAMPILA,tú sobreviviste.,kenma chiminllinkekla nampila
P01289,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Usted sobrevivió.,KENMA CHIMINLLINKEKLA NAMPILA,usted sobrevivió.,kenma chiminllinkekla nampila
P01279,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ustedes prometisteis.,KENMAMA' TUWINAMA' NU'TECHUMA,ustedes prometisteis.,kenmama' tuwinama' nu'techuma
P01281,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ustedes prometieron.,KENMAMA' TUWINAMA' NU'TECHUMA,ustedes prometieron.,kenmama' tuwinama' nu'techuma
P00278,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Tú primero.,KENMAMENTU,tú primero.,kenmamentu
P00279,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Usted primero.,KENMAMENTU,usted primero.,kenmamentu
P01102,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy confuso.,LACHEK'KI'NEK,estoy confuso.,lachek'ki'nek
P01103,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy confundido.,LACHEK'KI'NEK,estoy confundido.,lachek'ki'nek
P01851,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Está claro.,LATEK'LA NAÑI,está claro.,latek'la nañi
P01852,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Es obvio.,LATEK'LA NAÑI,es obvio.,latek'la nañi
P01390,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Te creo.,LATEKLLIEN,te creo.,latekllien
P01710,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Te creí.,LATEKLLIEN,te creí.,latekllien
P00042,length_issue|many_to_one_shiwilu,"SHIWILU tiene 2 traducciones ESP diferentes || ESP muy largo (4 palabras, umbral: 3); ESP mucho más largo que SHIWILU (ratio: 4.00)",Estoy abriendo mi boca.,LAUK'APALEK,estoy abriendo mi boca.,lauk'apalek
P00135,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Pregúntale.,LEK'KER',pregúntale.,lek'ker'
P00136,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Pregúntales.,LEK'KER',pregúntales.,lek'ker'
P01326,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Pide ayuda.,LEKTER' KATU'PA',pide ayuda.,lekter' katu'pa'
P01327,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Pida ayuda.,LEKTER' KATU'PA',pida ayuda.,lekter' katu'pa'
P01633,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lo verás.,LLI'ECHU,lo verás.,lli'echu
P01634,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,La verás.,LLI'ECHU,la verás.,lli'echu
P00680,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mira esto.,LLI'KER' ASU',mira esto.,lli'ker' asu'
P01031,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Examine esto.,LLI'KER' ASU',examine esto.,lli'ker' asu'
P00681,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Miren esto.,LLI'KU' ASU',miren esto.,lli'ku' asu'
P01032,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Examinen esto.,LLI'KU' ASU',examinen esto.,lli'ku' asu'
P00181,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lo vi.,LLI'LEK,lo vi.,lli'lek
P00330,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Le vi.,LLI'LEK,le vi.,lli'lek
P00266,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mírame.,LLI'U,mírame.,lli'u
P00268,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Obsérvame.,LLI'U,obsérvame.,lli'u
P00639,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Se quedaron.,LLIA'LLINA',se quedaron.,llia'llina'
P00640,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Se mantuvieron.,LLIA'LLINA',se mantuvieron.,llia'llina'
P02198,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Anota esto.,LLINSER'KER' ASU',anota esto.,llinser'ker' asu'
P02199,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Anote esto.,LLINSER'KER' ASU',anote esto.,llinser'ker' asu'
P02197,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Anoten eso.,LLINSER'KU' NANA,anoten eso.,llinser'ku' nana
P02200,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Anoten esto.,LLINSER'KU' NANA,anoten esto.,llinser'ku' nana
P01248,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estábamos heridos.,LLIPU'PI ÑAPAWIÑIDEK,estábamos heridos.,llipu'pi ñapawiñidek
P01249,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estábamos lastimados.,LLIPU'PI ÑAPAWIÑIDEK,estábamos lastimados.,llipu'pi ñapawiñidek
P00343,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Soy amado.,LUANPI NUKA'KA,soy amado.,luanpi nuka'ka
P00344,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Soy amada.,LUANPI NUKA'KA,soy amada.,luanpi nuka'ka
P00534,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Te quiero.,LUANTULLIEN,te quiero.,luantullien
P00535,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Te amo.,LUANTULLIEN,te amo.,luantullien
P00602,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Charlemos.,LUN'AWA',charlemos.,lun'awa'
P00608,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Conversemos.,LUN'AWA',conversemos.,lun'awa'
P01523,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Habla claramente.,LUNKER' LACHEK'AK,habla claramente.,lunker' lachek'ak
P01524,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Hable claramente.,LUNKER' LACHEK'AK,hable claramente.,lunker' lachek'ak
P00400,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lee esto.,LUNTUKER' ASU',lee esto.,luntuker' asu'
P00401,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lea esto.,LUNTUKER' ASU',lea esto.,luntuker' asu'
P00341,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy borracho.,LUPERSU' ÑAPALEK,estoy borracho.,lupersu' ñapalek
P00342,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy tomada.,LUPERSU' ÑAPALEK,estoy tomada.,lupersu' ñapalek
P01240,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Necesitamos ayuda.,LUWANTULLIDEK KATU'PA',necesitamos ayuda.,luwantullidek katu'pa'
P01884,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Necesitábamos ayuda.,LUWANTULLIDEK KATU'PA',necesitábamos ayuda.,luwantullidek katu'pa'
P02079,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Solo ignórala.,LUWE'CHINBUER',solo ignórala.,luwe'chinbuer'
P02080,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ignórala.,LUWE'CHINBUER',ignórala.,luwe'chinbuer'
P00528,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,La conozco.,LUWER'CHAPALEK,la conozco.,luwer'chapalek
P00529,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lo conozco.,LUWER'CHAPALEK,lo conozco.,luwer'chapalek
P01911,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Me ignorabas.,LUWER'CHI'NUN,me ignorabas.,luwer'chi'nun
P01912,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Me ignoraste.,LUWER'CHI'NUN,me ignoraste.,luwer'chi'nun
P02004,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Odio pelear.,LUYULEK IDENMAAK,odio pelear.,luyulek idenmaak
P02005,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Detesto pelear.,LUYULEK IDENMAAK,detesto pelear.,luyulek idenmaak
P01723,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Odio bailar.,LUYULEK LANSA'AK,odio bailar.,luyulek lansa'ak
P01724,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Detesto bailar.,LUYULEK LANSA'AK,detesto bailar.,luyulek lansa'ak
P01402,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Odio volar.,LUYULEK PENNU'AK,odio volar.,luyulek pennu'ak
P01403,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Detesto volar.,LUYULEK PENNU'AK,detesto volar.,luyulek pennu'ak
P01404,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Odio perder.,LUYULEK WER'AK,odio perder.,luyulek wer'ak
P01405,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Detesto perder.,LUYULEK WER'AK,detesto perder.,luyulek wer'ak
P00426,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Toma esto.,MA'TA ASU',toma esto.,ma'ta asu'
P00427,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Tome esto.,MA'TA ASU',tome esto.,ma'ta asu'
P01773,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy desempleado.,MAKEK SAKA'TAPI'NEK,estoy desempleado.,makek saka'tapi'nek
P01775,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Estoy desempleada.,MAKEK SAKA'TAPI'NEK,estoy desempleada.,makek saka'tapi'nek
